detuning_khz,sample,t_ns,t_bin_ns,diag_re,diag_im,diag_re0,diag_re_over_diag_re0,phase_rad,phase_deg
0,3,220,220,9952350,-299,10000000,0.995235,-3.00431556276e-05,-0.00172134602071
0,3,230,230,9963263,-497,10000000,0.9963263,-4.98832560766e-05,-0.00285810004156
0,3,240,240,9969873,-374,10000000,0.9969873,-3.75130154441e-05,-0.00214933746176
0,3,250,250,9972021,-377,10000000,0.9972021,-3.78057767648e-05,-0.00216611144984
0,3,260,260,9971931,-342,10000000,0.9971931,-3.42962661761e-05,-0.00196503130495
0,3,270,270,9973331,-468,10000000,0.9973331,-4.69251446339e-05,-0.00268861274056
0,3,280,280,9972146,-447,10000000,0.9972146,-4.48248551215e-05,-0.00256827501575
0,3,290,290,9974581,-686,10000000,0.9974581,-6.87748186032e-05,-0.00394050684274
0,3,299.99705067,300,9979390,-460,10000000,0.997939,-4.60950017661e-05,-0.00264104905784
0,4,0,0,10000000,0,10000000,1,0,0
0,4,10,10,9999878,0,10000000,0.9999878,0,0
0,4,20,20,9989659,7,10000000,0.9989659,7.00724619329e-07,4.01485632884e-05
0,4,30,30,9989647,-15,10000000,0.9989647,-1.50155455943e-06,-8.60327389642e-05
0,4,40,40,9990197,-15,10000000,0.9990197,-1.5014718929e-06,-8.60280025204e-05
0,4,50,50,9990995,24,10000000,0.9990995,2.40216314791e-06,0.000137633810077
0,4,60,60,9990289,-3,10000000,0.9990289,-3.00291613186e-07,-1.72054420587e-05
0,4,70,70,9990947,-32,10000000,0.9990947,-3.20289958498e-06,-0.000183512628424
0,4,80,80,9990543,-60,10000000,0.9990543,-6.0056795711e-06,-0.000344100092532
0,4,90,90,9988443,-33,10000000,0.9988443,-3.30381822271e-06,-0.00018929484044
0,4,100,100,9984426,163,10000000,0.9984426,1.63254252158e-05,0.000935377963621
0,4,110,110,9985346,453,10000000,0.9985346,4.53664800087e-05,0.00259930783586
0,4,120,120,9985584,342,10000000,0.9985584,3.4249373884e-05,0.00196234457452
0,4,130,130,9983921,432,10000000,0.9983921,4.32695731197e-05,0.00247916392109
0,4,140,140,9980782,353,10000000,0.9980782,3.53679701503e-05,0.00202643541956
0,4,150,150,9976856,190,10000000,0.9976856,1.90440756063e-05,0.00109114515697
0,4,160,160,9972764,120,10000000,0.9972764,1.20327724585e-05,0.000689427077713
0,4,170,170,9968310,271,10000000,0.996831,2.71861529119e-05,0.00155765182305
0,4,180,180,9964377,471,10000000,0.9964377,4.72683841297e-05,0.00270827891504
0,4,190,190,9958902,263,10000000,0.9958902,2.6408533786e-05,0.00151309752907
0,4,200,200,9951953,378,10000000,0.9951953,3.7982494473e-05,0.00217623662868
0,4,209.996777501,210,9938214,485,10000000,0.9938214,4.88015250643e-05,0.00279612141998
0,4,220,220,9952506,400,10000000,0.9952506,4.01908825561e-05,0.00230276794537
0,4,230,230,9963757,501,10000000,0.9963757,5.02822378725e-05,0.00288096001457
0,4,240,240,9970620,579,10000000,0.997062,5.80706113912e-05,0.00332720094646
0,4,250,250,9972531,622,10000000,0.9972531,6.23713277195e-05,0.00357361384095
0,4,260,260,9972290,411,10000000,0.997229,4.12142045375e-05,0.00236139997599
0,4,270,270,9973711,379,10000000,0.9973711,3.79998979134e-05,0.00217723377236
0,4,279.999844328,280,9970495,376,10000000,0.9970495,3.77112670757e-05,0.00216069644353
0,4,290,290,9975450,-80,10000000,0.997545,-8.01968833469e-06,-0.000459494294588
0,4,300,300,9982348,-155,10000000,0.9982348,-1.55274089811e-05,-0.00088965500139
0,5,0,0,10000000,0,10000000,1,0,0
0,5,10,10,9999883,0,10000000,0.9999883,0,0
0,5,20,20,9989180,-16,10000000,0.998918,-1.60173307519e-06,-9.17725451147e-05
0,5,30,30,9990134,-38,10000000,0.9990134,-3.80375278248e-06,-0.000217938980747
0,5,40,40,9990075,-77,10000000,0.9990075,-7.70764984232e-06,-0.000441615805929
0,5,50,50,9990811,-41,10000000,0.9990811,-4.10377095511e-06,-0.000235128755816
0,5,60,60,9990279,37,10000000,0.9990279,3.70360026981e-06,0.000212200664463
0,5,70,70,9990362,28,10000000,0.9990362,2.80270124345e-06,0.000160582952486
0,5,80,80,9990734,68,10000000,0.9990734,6.80630672371e-06,0.00038997264934
0,5,90,90,9989022,180,10000000,0.9989022,1.80197821149e-05,0.00103245746293
0,5,100,100,9984799,567,10000000,0.9984799,5.67863208253e-05,0.00325361651737
0,5,110,110,9985852,657,10000000,0.9985852,6.57930839604e-05,0.00376966603208
0,5,120,120,9985777,457,10000000,0.9985777,4.5765091658e-05,0.00262214660103
0,5,130,130,9983719,426,10000000,0.9983719,4.26694701385e-05,0.00244478055299
0,5,139.998218761,140,9978086,488,10000000,0.9978086,4.89071751447e-05,0.0028021747237
0,5,150,150,9977300,704,10000000,0.99773,7.05601714724e-05,0.00404280002709
0,5,160,160,9972746,615,10000000,0.9972746,6.16680700802e-05,0.00353332014631
0,5,170,170,9968481,705,10000000,0.9968481,7.0722911427e-05,0.00405212433964
0,5,180,180,9963730,952,10000000,0.996373,9.55465470364e-05,0.00547441389223
0,5,190,190,9958795,933,10000000,0.9958795,9.36860330261e-05,0.00536781429172
